PWSID,DAC_status
CA3910012,Non-DAC
CA3410029,Non-DAC
CA0910001,Missing
CA3010037,Non-DAC
CA3410006,Non-DAC
CA5710003,DAC
CA3610044,SDAC
CA1910083,Non-DAC
CA1910156,Non-DAC
CA5610063,Non-DAC
CA4110003,Non-DAC
CA2410001,DAC
CA3710702,DAC
CA3910027,Non-DAC
CA3410704,Non-DAC
CA1910049,SDAC
CA3010041,Non-DAC
CA1510032,SDAC
CA1910073,Non-DAC
CA4110016,Non-DAC
CA1910148,Non-DAC
CA1910166,Non-DAC
CA1510020,SDAC
CA1510024,SDAC
CA5410003,SDAC
CA3410002,Non-DAC
CA1910054,Non-DAC
CA3110010,DAC
CA1510038,Non-DAC
CA1910169,DAC
CA4010016,Non-DAC
CA2410010,SDAC
CA5805001,Non-DAC
CA2310004,SDAC
CA2410006,DAC
CA5710005,Non-DAC
CA4310021,Non-DAC
CA1010026,SDAC
CA1910086,SDAC
CA2710005,DAC
CA4910007,Non-DAC
CA3710004,Non-DAC
CA0510009,DAC
CA3610009,SDAC
CA3210006,Non-DAC
CA1910163,Non-DAC
CA4110010,Non-DAC
CA3710750,Non-DAC
CA5310001,SDAC
CA2410012,DAC
CA5010021,Non-DAC
CA1310005,DAC
CA3710700,DAC
CA1710014,Non-DAC
CA3310048,SDAC
CA5410008,SDAC
CA0910015,Non-DAC
CA2310006,DAC
CA4310013,Non-DAC
CA3110009,Non-DAC
CA4210024,Non-DAC
CA3610031,SDAC
CA1910165,SDAC
CA1510703,Non-DAC
CA1510025,SDAC
CA2310008,DAC
CA4710013,DAC
CA4910008,Non-DAC
CA4310028,SDAC
CA3810700,Non-DAC
CA4910021,Non-DAC
CA1510014,DAC
CA4710002,SDAC
CA3110013,Non-DAC
CA3310040,Non-DAC
CA3610023,SDAC
CA4010081,Non-DAC
CA1510009,SDAC
CA3310030,DAC
CA2310005,SDAC
CA3110051,Non-DAC
CA0610001,SDAC
CA2010003,Non-DAC
CA3510004,Non-DAC
CA1810002,SDAC
CA1710012,DAC
CA3210005,DAC
CA3610002,DAC
CA1210015,SDAC
CA3110028,Non-DAC
CA5610015,Non-DAC
CA0210002,DAC
CA3910008,DAC
CA5810700,Non-DAC
CA4410018,Non-DAC
CA3110017,Non-DAC
CA5410038,SDAC
CA3610093,SDAC
CA3610854,SDAC
CA3610011,DAC
CA4010006,DAC
CA5510006,Non-DAC
CA5610069,Non-DAC
CA2110004,Non-DAC
CA1910022,SDAC
CA1910056,Non-DAC
CA3610022,DAC
CA0410001,DAC
CA1010055,Non-DAC
CA2710016,Non-DAC
CA3710041,DAC
CA1010039,SDAC
CA3710039,Non-DAC
CA4010003,Non-DAC
CA5710009,SDAC
CA3110029,DAC
CA2210001,SDAC
CA4010015,DAC
CA5310002,SDAC
CA1510002,SDAC
CA1910002,DAC
CA0910012,Missing
CA1210022,SDAC
CA4210002,Non-DAC
CA3610060,SDAC
CA5010039,Non-DAC
CA1910035,Non-DAC
CA2110005,Non-DAC
CA5610021,SDAC
CA3110011,Non-DAC
CA3910002,Non-DAC
CA3301943,SDAC
CA3110035,Non-DAC
CA5510011,SDAC
CA1410009,SDAC
CA4710007,DAC
CA3210010,Missing
CA1310008,SDAC
CA3610021,DAC
CA0210001,Non-DAC
CA5000433,Non-DAC
CA1610007,SDAC
CA5410025,SDAC
CA2710020,Non-DAC
CA4510004,DAC
CA1710011,DAC
CA4710012,SDAC
CA3110018,SDAC
CA3610030,DAC
CA3110041,Non-DAC
CA3301283,Non-DAC
CA1710009,DAC
CA5210002,DAC
CA4810013,Non-DAC
CA0610003,DAC
CA2810001,Non-DAC
CA3710012,Non-DAC
CA1510042,SDAC
CA4110019,Non-DAC
CA4910029,DAC
CA5510026,DAC
CA5710011,Non-DAC
CA1910012,DAC
CA3110047,Non-DAC
CA3610016,DAC
CA4910010,Non-DAC
CA0310011,DAC
CA1410008,SDAC
CA3010008,DAC
CA0300037,DAC
CA1900563,Non-DAC
CA1210018,Non-DAC
CA2310010,SDAC
CA3710009,Non-DAC
CA3310028,SDAC
CA2210002,DAC
CA4000650,Non-DAC
CA1410006,DAC
CA5410022,SDAC
CA4110012,Non-DAC
CA1910023,SDAC
CA2510002,SDAC
CA1400111,Non-DAC
CA1510054,SDAC
CA2700511,Non-DAC
CA2700773,DAC
CA3710707,SDAC
CA1900523,Non-DAC
CA3110022,Non-DAC
CA1510027,SDAC
CA3600222,DAC
CA1510004,SDAC
CA3710011,SDAC
CA5610006,Non-DAC
CA2310013,SDAC
CA2210503,SDAC
CA2210515,SDAC
CA5301002,DAC
CA4610002,SDAC
CA1010052,Non-DAC
CA3700938,Non-DAC
CA2800625,Non-DAC
CA3110031,Non-DAC
CA2610005,SDAC
CA1010053,Non-DAC
CA3610046,SDAC
CA1510052,SDAC
CA1500466,Non-DAC
CA3710047,SDAC
CA1400007,Non-DAC
CA3600139,SDAC
CA1910066,SDAC
CA0800555,SDAC
CA1700518,DAC
CA1910053,DAC
CA3301534,DAC
CA2310012,DAC
CA1000069,Non-DAC
CA3400179,SDAC
CA3010097,SDAC
CA3700923,SDAC
CA3110048,DAC
CA4900721,SDAC
CA5200508,SDAC
CA0910018,DAC
CA5304102,SDAC
CA4900562,Non-DAC
CA0707576,SDAC
CA4900584,Non-DAC
CA5200503,SDAC
CA0105008,Non-DAC
CA2210924,SDAC
CA4900832,Non-DAC
CA4400502,Non-DAC
CA2300507,DAC
CA4300542,Non-DAC
CA1900913,DAC
CA1500341,Missing
CA2000521,SDAC
CA2701254,Non-DAC
CA2702588,Non-DAC
CA0707613,SDAC
CA3900831,Non-DAC
CA3110043,SDAC
CA0400007,DAC
CA5500042,Non-DAC
CA2300708,SDAC
CA4500195,SDAC
CA2702521,Non-DAC
CA2100508,Non-DAC
CA2700728,DAC
CA4900561,Non-DAC
CA5700700,SDAC
CA3700074,SDAC
CA1900102,Non-DAC
CA5500060,Non-DAC
CA4100533,Non-DAC
CA5400670,DAC
CA4300517,Non-DAC
CA5500077,Non-DAC
CA1900794,SDAC
CA2210510,Non-DAC
CA1410505,SDAC
CA3700866,Non-DAC
CA0910017,SDAC
CA1000021,DAC
CA2700787,Non-DAC
CA3400217,Missing
CA4000802,Non-DAC
CA5400934,SDAC
CA2100519,Non-DAC
CA3701793,SDAC
CA2600620,Non-DAC
CA1500211,Non-DAC
CA1200707,SDAC
CA2701515,Non-DAC
CA2701452,Non-DAC
CA3100029,SDAC
CA3400191,SDAC
CA4900647,DAC
CA4900585,Non-DAC
CA4400558,Non-DAC
CA0910019,SDAC
CA3200188,SDAC
CA4600019,Non-DAC
CA3400106,SDAC
CA1700508,SDAC
CA2400046,Non-DAC
CA2900531,SDAC
CA3600200,DAC
CA0400036,SDAC
CA1503270,SDAC
CA5500074,Non-DAC
CA1300009,SDAC
CA3600301,DAC
CA4400608,Non-DAC
CA4500204,Non-DAC
CA3600283,DAC
CA2300591,SDAC
CA4000554,Non-DAC
CA0400014,SDAC
CA4600017,SDAC
CA4900532,SDAC
CA4900799,SDAC
CA3100040,SDAC
CA3600258,DAC
CA0600013,DAC
CA2000509,SDAC
CA0900300,SDAC
CA1500478,Missing
CA3301577,SDAC
CA4900548,Non-DAC
CA4200807,Non-DAC
CA4300516,Non-DAC
CA4300771,Non-DAC
CA4900570,Non-DAC
CA5500104,SDAC
CA3600260,SDAC
CA4500013,SDAC
CA1400005,Non-DAC
CA4600018,DAC
CA4900798,DAC
CA4900612,Non-DAC
CA4400571,Non-DAC
CA3900805,Non-DAC
CA4500007,SDAC
CA4900536,Non-DAC
CA0800532,DAC
CA2600538,Non-DAC
CA0707573,Non-DAC
CA5500080,Non-DAC
CA1000299,SDAC
CA1000078,Non-DAC
CA3701408,Non-DAC
CA5601120,Non-DAC
CA4700523,DAC
CA2300514,SDAC
CA3100038,SDAC
CA3107339,Non-DAC
CA4100582,Non-DAC
CA4500015,SDAC
CA3700958,SDAC
CA0707569,SDAC
CA1200518,DAC
CA4900543,DAC
CA5400728,SDAC
CA1800529,Non-DAC
CA2210901,SDAC
CA2701676,SDAC
CA5400710,Non-DAC
CA0400013,SDAC
CA3110044,SDAC
CA4700531,SDAC
CA2701364,Non-DAC
CA1910099,Non-DAC
CA3600158,SDAC
CA4700528,SDAC
CA5700788,Non-DAC
CA0400008,Non-DAC
CA1400066,Non-DAC
CA4100503,Non-DAC
CA4200616,Non-DAC
CA1700595,SDAC
CA2300610,Non-DAC
CA3600107,DAC
CA5602115,DAC
CA3701747,SDAC
CA4300545,Non-DAC
CA4900521,Non-DAC
CA4200619,Non-DAC
CA4200578,Non-DAC
CA4500003,Non-DAC
CA2000502,Non-DAC
CA2800543,Non-DAC
CA3301511,SDAC
CA2700674,Non-DAC
CA4300563,Non-DAC
CA2000506,SDAC
CA0600012,DAC
CA1100237,SDAC
CA2210906,SDAC
CA1500459,SDAC
CA1500393,SDAC
CA3200150,DAC
CA3301180,SDAC
CA4500317,SDAC
CA4700549,DAC
CA5400732,SDAC
CA5800820,DAC
CA1100436,SDAC
CA2300605,SDAC
CA5602104,Missing
CA2900562,SDAC
CA4900545,Non-DAC
CA0310018,DAC
CA3301512,SDAC
CA3900505,Non-DAC
CA1500349,Non-DAC
CA2700772,DAC
CA3600012,SDAC
CA1500493,SDAC
CA3600180,SDAC
CA5400968,DAC
CA5500120,SDAC
CA4200842,DAC
CA1200501,SDAC
CA4300551,Non-DAC
CA4500313,DAC
CA4900512,Non-DAC
CA1900303,SDAC
CA4700880,SDAC
CA3301381,SDAC
CA4400598,Non-DAC
CA4900797,SDAC
CA1503226,SDAC
CA2210903,Non-DAC
CA3301114,DAC
CA5200570,DAC
CA1700549,DAC
CA5602140,Non-DAC
CA2600501,Non-DAC
CA1503329,Non-DAC
CA2300730,SDAC
CA4900667,Non-DAC
CA1500525,SDAC
CA1400002,Non-DAC
CA4500173,DAC
CA4500235,SDAC
CA3600156,SDAC
CA5800803,Non-DAC
CA5602103,SDAC
CA4900563,Non-DAC
CA4100509,Non-DAC
CA3600089,SDAC
CA1000005,DAC
CA2000538,SDAC
CA1400110,Non-DAC
CA5000008,SDAC
CA4400572,Non-DAC
CA0409183,Non-DAC
CA1200541,SDAC
CA2700534,Non-DAC
CA4500014,SDAC
CA4500028,SDAC
CA4900588,DAC
CA5301102,DAC
CA0800557,SDAC
CA2701926,Non-DAC
CA4300831,Non-DAC
CA3610082,DAC
CA4900578,DAC
CA0600005,SDAC
CA1400098,SDAC
CA4900611,DAC
CA4900630,Non-DAC
CA5200502,DAC
CA4200881,Non-DAC
CA1900903,Non-DAC
CA4200572,Non-DAC
CA4900552,Non-DAC
CA5400504,SDAC
CA4200684,Non-DAC
CA2600546,Non-DAC
CA4500006,SDAC
CA4700551,SDAC
CA1000244,DAC
CA1500563,Missing
CA5000080,DAC
CA5400616,Non-DAC
CA1500483,Non-DAC
CA4900660,Non-DAC
CA5000010,Non-DAC
CA5500119,DAC
CA2000533,SDAC
CA2700612,Non-DAC
CA4000203,Non-DAC
CA5500092,Non-DAC
CA3301676,DAC
CA4900788,SDAC
CA0706005,SDAC
CA3500900,Non-DAC
CA1700606,Non-DAC
CA2900530,DAC
CA3000825,Missing
CA4300522,Non-DAC
CA4200693,Non-DAC
CA0901217,SDAC
CA1500535,Non-DAC
CA5200007,SDAC
CA1100445,SDAC
CA4000230,Non-DAC
CA4900577,SDAC
CA4900843,Non-DAC
CA3900755,SDAC
CA4900973,Non-DAC
CA5500128,SDAC
CA4200870,DAC
CA0900308,SDAC
CA1100203,SDAC
CA3900561,Non-DAC
CA1502564,SDAC
CA1900936,SDAC
CA2701800,Non-DAC
CA4300525,Non-DAC
CA4300562,Non-DAC
CA5000055,SDAC
CA5510503,SDAC
CA1500378,DAC
CA1800503,DAC
CA2300832,SDAC
CA5601116,Non-DAC
CA3200134,Non-DAC
CA3301011,DAC
CA3400169,SDAC
CA4300546,SDAC
CA4900792,SDAC
CA5400718,SDAC
CA0706004,Non-DAC
CA1910045,DAC
CA1400070,Non-DAC
CA3301541,DAC
CA3600070,SDAC
CA4000765,Non-DAC
CA5000054,Non-DAC
CA5400940,DAC
CA3500823,Non-DAC
CA2702007,Non-DAC
CA1000039,Non-DAC
CA1500252,SDAC
CA1500448,Missing
CA1900817,DAC
CA2300545,Non-DAC
CA4000654,Non-DAC
CA4900559,Non-DAC
CA4900603,Non-DAC
CA5400523,SDAC
CA4200891,Non-DAC
CA1000040,DAC
CA1502653,SDAC
CA1900804,DAC
CA1400135,Non-DAC
CA4500008,Missing
CA3700277,Non-DAC
CA0707572,SDAC
CA2900502,SDAC
CA3700937,Non-DAC
CA3600088,SDAC
CA4000789,Non-DAC
CA4700872,SDAC
CA4200612,SDAC
CA4400605,DAC
CA0800526,SDAC
CA2701740,Non-DAC
CA3600185,Non-DAC
CA4300520,Non-DAC
CA4300638,Non-DAC
CA4000771,Non-DAC
CA3103310,Non-DAC
CA2600621,SDAC
CA2600714,Non-DAC
CA2701279,DAC
CA5201147,Non-DAC
CA1500336,SDAC
CA1500404,Missing
CA3000519,SDAC
CA2700503,SDAC
CA2700771,DAC
CA4500027,DAC
CA5400529,SDAC
CA0800556,DAC
CA1000023,Non-DAC
CA1200592,SDAC
CA1500550,Missing
CA1700561,DAC
CA3205003,SDAC
CA2701898,DAC
CA4000202,Non-DAC
CA4900560,DAC
CA4900573,Non-DAC
CA4200800,Non-DAC
CA1400026,Non-DAC
CA1400027,SDAC
CA2700548,SDAC
CA5200535,SDAC
CA1500585,SDAC
CA4300979,Non-DAC
CA4900510,SDAC
CA4900547,Non-DAC
CA5400881,SDAC
CA4200837,Non-DAC
CA0500019,SDAC
CA1200566,SDAC
CA5601122,Non-DAC
CA4300560,Non-DAC
CA4900850,Non-DAC
CA3301115,SDAC
CA3400103,SDAC
CA3700918,Non-DAC
CA2702439,Non-DAC
CA4300577,Non-DAC
CA4000805,Non-DAC
CA5301017,DAC
CA1200547,SDAC
CA1500340,DAC
CA1500436,SDAC
CA1900158,SDAC
CA3000585,SDAC
CA2700709,Non-DAC
CA2702148,Non-DAC
CA5400805,DAC
CA4200862,Non-DAC
CA4400582,Non-DAC
CA0400019,SDAC
CA1000063,SDAC
CA1200544,SDAC
CA2700665,Non-DAC
CA3700897,Non-DAC
CA2701503,Non-DAC
CA2701570,Non-DAC
CA4100555,Non-DAC
CA5400536,DAC
CA3301682,SDAC
CA3400130,SDAC
CA2700738,Non-DAC
CA4100512,Non-DAC
CA4500303,DAC
CA3701995,Non-DAC
CA1500324,SDAC
CA3500912,Non-DAC
CA5601106,Non-DAC
CA1400072,DAC
CA3400156,SDAC
CA2701822,Non-DAC
CA3600209,DAC
CA4300770,Non-DAC
CA4000815,SDAC
CA4500009,DAC
CA4200580,Non-DAC
CA0400149,SDAC
CA0707501,SDAC
CA1500507,Non-DAC
CA1500584,Non-DAC
CA1500398,SDAC
CA3100528,Non-DAC
CA2600532,SDAC
CA2700594,Non-DAC
CA3600184,DAC
CA4300912,DAC
CA2300609,Non-DAC
CA3900733,Non-DAC
CA2701918,Non-DAC
CA2702409,Non-DAC
CA2702520,SDAC
CA4900644,DAC
CA4200802,Non-DAC
CA3400101,DAC
CA3700422,Non-DAC
CA2701670,Non-DAC
CA2702466,Non-DAC
CA3600064,SDAC
CA4900665,Non-DAC
CA0400155,SDAC
CA1000554,Non-DAC
CA2300604,SDAC
CA2700799,Non-DAC
CA4000705,Non-DAC
CA4000716,DAC
CA4900634,DAC
CA4900793,Non-DAC
CA4400557,DAC
CA1500371,Missing
CA1500554,Non-DAC
CA1500556,Non-DAC
CA1503536,DAC
CA2000501,SDAC
CA4900653,Non-DAC
CA5200014,DAC
CA5800572,Non-DAC
CA0800825,DAC
CA2300502,SDAC
CA5601137,DAC
CA1400031,Non-DAC
CA2900529,DAC
CA3000618,Non-DAC
CA2700731,Non-DAC
CA2700766,Non-DAC
CA3900719,Non-DAC
CA2701789,Non-DAC
CA4300567,Non-DAC
CA4300978,Non-DAC
CA4500012,Non-DAC
CA4500314,SDAC
CA4700638,Non-DAC
CA4900553,Non-DAC
CA4900905,Non-DAC
CA1000267,Non-DAC
CA1200587,DAC
CA5601401,Non-DAC
CA2700589,Non-DAC
CA2701263,Non-DAC
CA2702140,Non-DAC
CA2702554,Non-DAC
CA4000670,Non-DAC
CA4000808,Non-DAC
CA4900549,Non-DAC
CA4200702,Non-DAC
CA4400621,Non-DAC
CA1400025,Non-DAC
CA2801080,Non-DAC
CA2701498,Non-DAC
CA2702003,Non-DAC
CA4300526,Non-DAC
CA4000214,Non-DAC
CA4000750,Non-DAC
CA4900669,Non-DAC
CA4901246,Non-DAC
CA5200500,SDAC
CA5400556,Non-DAC
CA0300053,DAC
CA0400123,SDAC
CA1200718,SDAC
CA1500553,DAC
CA1500458,Missing
CA2701888,Non-DAC
CA4300550,Non-DAC
CA4300760,Non-DAC
CA4000200,Non-DAC
CA4700630,SDAC
CA4900620,Non-DAC
CA4900892,Non-DAC
CA4400613,SDAC
CA0409181,SDAC
CA1502600,Non-DAC
CA4400528,Non-DAC
CA2800516,Non-DAC
CA3200078,SDAC
CA2700686,Non-DAC
CA4100539,Non-DAC
CA2702374,DAC
CA4900513,Non-DAC
CA4900568,SDAC
CA4901062,Non-DAC
CA4200714,Non-DAC
CA0707585,Non-DAC
CA3900586,DAC
CA2701956,Non-DAC
CA2702055,Non-DAC
CA4300716,Non-DAC
CA4000741,Non-DAC
CA4900605,Non-DAC
CA4900608,SDAC
CA0400042,SDAC
CA3500549,Non-DAC
CA1910199,Non-DAC
CA1400056,Non-DAC
CA3100019,Non-DAC
CA3400150,DAC
CA2702608,Non-DAC
CA4300637,Non-DAC
CA4300992,Non-DAC
CA4500098,DAC
CA4900533,Non-DAC
CA4200848,Non-DAC
CA1500593,DAC
CA1502750,DAC
CA1900055,Non-DAC
CA2000526,Non-DAC
CA4400642,Non-DAC
CA3301588,DAC
CA2700535,Non-DAC
CA2700579,Non-DAC
CA2700663,Non-DAC
CA2701647,SDAC
CA2702094,DAC
CA2702388,Non-DAC
CA4000631,Non-DAC
CA4000637,Non-DAC
CA4000803,Non-DAC
CA4901381,Non-DAC
CA3701780,SDAC
CA4200633,Non-DAC
CA0103040,Non-DAC
CA1206002,SDAC
CA2300596,SDAC
CA2300705,Non-DAC
CA5601125,Non-DAC
CA2800525,Non-DAC
CA3200195,SDAC
CA3301502,SDAC
CA2700547,Non-DAC
CA2700622,Non-DAC
CA2700656,Non-DAC
CA2701897,Non-DAC
CA2701959,Non-DAC
CA2702110,Non-DAC
CA4300573,Non-DAC
CA4300792,Non-DAC
CA4900736,Non-DAC
CA5400660,DAC
CA4200579,SDAC
CA4200678,Non-DAC
CA4400625,DAC
CA5800827,SDAC
CA0707519,Non-DAC
CA0707615,Non-DAC
CA3500552,Non-DAC
CA1500561,DAC
CA1502620,DAC
CA3301877,Non-DAC
CA2702135,Non-DAC
CA4300740,Non-DAC
CA4900639,Non-DAC
CA4900640,SDAC
CA4901071,Non-DAC
CA4200822,Non-DAC
CA4400585,Non-DAC
CA1502659,Non-DAC
CA2700682,Non-DAC
CA4000660,Non-DAC
CA4000749,Non-DAC
CA5200555,SDAC
CA4200731,Non-DAC
CA4200804,Non-DAC
CA4400692,Non-DAC
CA0400003,SDAC
CA1500543,Non-DAC
CA1502645,DAC
CA5602132,Non-DAC
CA1400109,Non-DAC
CA3010093,Missing
CA2700669,SDAC
CA2700691,Non-DAC
CA2700740,Non-DAC
CA2700775,Non-DAC
CA2701278,DAC
CA2701633,Non-DAC
CA2702026,Non-DAC
CA4300571,Non-DAC
CA4300996,Non-DAC
CA4000775,Non-DAC
CA4900646,SDAC
CA4900846,Non-DAC
CA4901309,SDAC
CA4901355,Non-DAC
CA5403110,Non-DAC
CA1500560,Non-DAC
CA1502622,Non-DAC
CA1500591,SDAC
CA1510053,Missing
CA5610046,Non-DAC
CA5610080,DAC
CA2800528,Non-DAC
CA2800532,Non-DAC
CA3100538,DAC
CA3205001,Non-DAC
CA1400518,SDAC
CA2600699,DAC
CA2700678,Non-DAC
CA2700733,Non-DAC
CA2701935,Non-DAC
CA4300578,Non-DAC
CA4300741,Non-DAC
CA5400744,DAC
CA4200885,Missing
CA1200590,DAC
CA1502629,Non-DAC
CA2100579,Non-DAC
CA1400024,Non-DAC
CA1410502,SDAC
CA4301013,Non-DAC
CA4800589,Non-DAC
CA0110010,Non-DAC
CA1000555,Non-DAC
CA3500578,Non-DAC
CA1500566,Missing
CA1502569,Non-DAC
CA1900801,SDAC
CA4301004,Non-DAC
CA4900893,Non-DAC
CA4200867,Missing
CA1503526,SDAC
CA1500564,SDAC
CA1910128,Missing
CA4900575,Non-DAC
CA5201140,SDAC
CA0707517,Non-DAC
CA3500576,Non-DAC
CA1503669,Non-DAC
CA1502744,Non-DAC
CA2810008,SDAC
CA2701241,SDAC
CA1502545,Non-DAC
CA2110502,Non-DAC
CA1510040,Missing
CA3610129,Missing
CA1410510,DAC
CA3610086,Missing
CA1900693,SDAC
CA2701280,DAC
